ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff
6,6,14,17,e,13,13,c,6,6,6,6,6,6,6,6,6,6,6,6,6,6,a,10,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff
ff,ff,e,7,5,3,3,20,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff
b,b,22,2,7,7,7,1c,b,b,b,b,b,b,b,b,b,b,b,b,b,b,1a,1e,9,9,6,9,9,1f,9,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff
3,16,4,f,0,0,0,7,5,3,3,3,3,3,3,3,3,3,3,3,3,16,7,11,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff
5,5,2,0,0,0,0,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,11,9,9,9,9,9,9,12,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff
5,5,2,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,11,11,11,11,11,19,11,6,10,9,10,6,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff
5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f,4,5,5,16,5,5,3,5,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff
5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,7,7,7,7,2,7,24,14,14,1c,b,9,9,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff
3,5,4,f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f,0,3,3,3,7,11,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff
5,5,2,0,4,0,0,0,0,0,d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,3,7,13,6,6,9,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff
1b,6,17,3,7,0,0,0,0,2,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d,d,0,2,5,5,c,10,a,ff,ff,ff,ff,ff,ff,ff,ff,ff
ff,ff,8,16,3,0,0,0,0,2,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f,4,5,5,1b,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff
1b,6,13,3,3,0,0,0,0,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,18,18,1a,23,6,ff,ff,ff,ff,ff,ff,ff
9,ff,e,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f,0,3,7,14,ff,ff,ff,ff,ff,ff,ff,ff,ff
6,12,e,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,3,7,18,15,c,12,12,ff,ff,ff,ff,ff
9,ff,8,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,7,0,0,0,0,0,0,0,0,0,21,3,11,ff,ff,9,ff,ff,ff,ff
ff,ff,8,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,7,0,0,0,0,0,0,0,0,f,7,5,11,ff,ff,ff,ff,ff,ff,ff
e,e,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,4,4,2,e,17,15,ff,10,ff,ff
3,3,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f,d,3,7,b,ff,10,ff,ff
5,5,7,2,2,d,4,4,4,4,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,c,ff,6,ff,ff
5,5,7,4,2,2,2,7,3,2,0,0,0,0,0,0,0,0,0,7,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,c,ff,6,ff,ff
5,5,7,4,2,2,2,7,3,2,0,0,0,0,0,0,0,0,0,7,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,c,ff,6,ff,ff
5,5,7,4,2,2,2,2,2,2,4,4,0,0,0,0,0,0,0,4,4,d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,c,ff,6,ff,ff
5,5,7,4,2,2,2,2,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,c,ff,6,ff,ff
5,5,7,4,2,2,2,2,2,2,2,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,c,ff,6,ff,ff
3,5,7,4,2,2,2,2,2,2,2,2,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,c,ff,6,ff,ff
5,5,7,4,2,2,2,2,2,2,2,2,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,c,ff,6,ff,ff
6,6,13,3,3,4,2,2,2,2,2,2,2,2,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,d,7,7,4,0,0,0,0,0,0,0,0,4,5,3,c,ff,6,ff,ff
